ingredient_name,state_name,storage_location,needs_cooking,ready_to_eat,typical_prep_minutes,typical_cook_minutes,active_minutes,passive_minutes,attention_score,energy_level,rank_penalty,holdability,handling_note,timing_note,cooking_note,verified,notes
Parsnips,Fresh,fridge,1,0,2,20,20,0,5,low,0,fair,Wash and trim Parsnips appropriately.,Use Parsnips according to its texture and holdability.,Cook Parsnips in the named vessel only as long as needed.,1,Core vegetable state
Beets,Fresh,fridge,1,0,2,35,35,0,5,low,0,fair,Wash and trim Beets appropriately.,Use Beets according to its texture and holdability.,Cook Beets in the named vessel only as long as needed.,1,Core vegetable state
Asparagus,Fresh,fridge,1,0,2,7,7,0,5,low,0,fair,Wash and trim Asparagus appropriately.,Use Asparagus according to its texture and holdability.,Cook Asparagus in the named vessel only as long as needed.,1,Core vegetable state
Brussels sprouts,Fresh,fridge,1,0,2,15,15,0,5,low,0,fair,Wash and trim Brussels sprouts appropriately.,Use Brussels sprouts according to its texture and holdability.,Cook Brussels sprouts in the named vessel only as long as needed.,1,Core vegetable state
Bok choy,Fresh,fridge,1,0,2,6,6,0,5,low,0,poor,Wash and trim Bok choy appropriately.,Use Bok choy according to its texture and holdability.,Cook Bok choy in the named vessel only as long as needed.,1,Core vegetable state
Napa cabbage,Fresh,fridge,1,0,2,8,8,0,5,low,0,fair,Wash and trim Napa cabbage appropriately.,Use Napa cabbage according to its texture and holdability.,Cook Napa cabbage in the named vessel only as long as needed.,1,Core vegetable state
Leeks,Fresh,fridge,1,0,2,12,12,0,5,low,0,fair,Wash and trim Leeks appropriately.,Use Leeks according to its texture and holdability.,Cook Leeks in the named vessel only as long as needed.,1,Core vegetable state
Scallions,Fresh,fridge,1,0,2,2,2,0,5,low,0,fair,Wash and trim Scallions appropriately.,Use Scallions according to its texture and holdability.,Cook Scallions in the named vessel only as long as needed.,1,Core vegetable state
Shallots,Fresh,fridge,1,0,2,6,6,0,5,low,0,fair,Wash and trim Shallots appropriately.,Use Shallots according to its texture and holdability.,Cook Shallots in the named vessel only as long as needed.,1,Core vegetable state
Artichokes,Fresh,fridge,1,0,2,10,10,0,5,low,0,fair,Wash and trim Artichokes appropriately.,Use Artichokes according to its texture and holdability.,Cook Artichokes in the named vessel only as long as needed.,1,Core vegetable state
Okra,Fresh,fridge,1,0,2,10,10,0,5,low,0,fair,Wash and trim Okra appropriately.,Use Okra according to its texture and holdability.,Cook Okra in the named vessel only as long as needed.,1,Core vegetable state
Eggplant,Fresh,fridge,1,0,2,15,15,0,5,low,0,fair,Wash and trim Eggplant appropriately.,Use Eggplant according to its texture and holdability.,Cook Eggplant in the named vessel only as long as needed.,1,Core vegetable state
Water chestnuts,Fresh,fridge,1,0,2,3,3,0,2,low,0,fair,Wash and trim Water chestnuts appropriately.,Use Water chestnuts according to its texture and holdability.,Cook Water chestnuts in the named vessel only as long as needed.,1,Core vegetable state
Bamboo shoots,Fresh,fridge,1,0,2,5,5,0,2,low,0,fair,Wash and trim Bamboo shoots appropriately.,Use Bamboo shoots according to its texture and holdability.,Cook Bamboo shoots in the named vessel only as long as needed.,1,Core vegetable state
Black olives,Fresh,fridge,0,1,2,0,0,0,2,very low,0,poor,Wash and trim Black olives appropriately.,Use Black olives according to its texture and holdability.,Cook Black olives in the named vessel only as long as needed.,1,Core vegetable state
Green olives,Fresh,fridge,0,1,2,0,0,0,2,very low,0,poor,Wash and trim Green olives appropriately.,Use Green olives according to its texture and holdability.,Cook Green olives in the named vessel only as long as needed.,1,Core vegetable state
Sauerkraut,Fresh,fridge,1,0,2,5,5,0,2,low,0,fair,Wash and trim Sauerkraut appropriately.,Use Sauerkraut according to its texture and holdability.,Cook Sauerkraut in the named vessel only as long as needed.,1,Core vegetable state
Pickles,Fresh,fridge,0,1,2,0,0,0,2,very low,0,poor,Wash and trim Pickles appropriately.,Use Pickles according to its texture and holdability.,Cook Pickles in the named vessel only as long as needed.,1,Core vegetable state
Celery root,Fresh,fridge,1,0,2,25,25,0,5,low,0,fair,Wash and trim Celery root appropriately.,Use Celery root according to its texture and holdability.,Cook Celery root in the named vessel only as long as needed.,1,Core vegetable state
Fennel,Fresh,fridge,1,0,2,12,12,0,5,low,0,fair,Wash and trim Fennel appropriately.,Use Fennel according to its texture and holdability.,Cook Fennel in the named vessel only as long as needed.,1,Core vegetable state
Snap peas,Fresh,fridge,1,0,2,3,3,0,5,low,0,fair,Wash and trim Snap peas appropriately.,Use Snap peas according to its texture and holdability.,Cook Snap peas in the named vessel only as long as needed.,1,Core vegetable state
Snow peas,Fresh,fridge,1,0,2,3,3,0,5,low,0,fair,Wash and trim Snow peas appropriately.,Use Snow peas according to its texture and holdability.,Cook Snow peas in the named vessel only as long as needed.,1,Core vegetable state
Bean sprouts,Fresh,fridge,1,0,2,2,2,0,5,low,0,fair,Wash and trim Bean sprouts appropriately.,Use Bean sprouts according to its texture and holdability.,Cook Bean sprouts in the named vessel only as long as needed.,1,Core vegetable state
Collard greens,Fresh,fridge,1,0,2,25,25,0,5,low,0,poor,Wash and trim Collard greens appropriately.,Use Collard greens according to its texture and holdability.,Cook Collard greens in the named vessel only as long as needed.,1,Core vegetable state
Mustard greens,Fresh,fridge,1,0,2,20,20,0,5,low,0,poor,Wash and trim Mustard greens appropriately.,Use Mustard greens according to its texture and holdability.,Cook Mustard greens in the named vessel only as long as needed.,1,Core vegetable state
Black beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Black beans; soak when appropriate.,Start dry Black beans well before the rest of the meal.,Simmer Black beans in a pot until fully tender.,1,Dry pantry legume state
Black beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Black beans when appropriate.,Add canned Black beans late enough to avoid breaking them down.,Warm canned Black beans gently in a saucepan or skillet.,1,Canned pantry legume state
Pinto beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Pinto beans; soak when appropriate.,Start dry Pinto beans well before the rest of the meal.,Simmer Pinto beans in a pot until fully tender.,1,Dry pantry legume state
Pinto beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Pinto beans when appropriate.,Add canned Pinto beans late enough to avoid breaking them down.,Warm canned Pinto beans gently in a saucepan or skillet.,1,Canned pantry legume state
Navy beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Navy beans; soak when appropriate.,Start dry Navy beans well before the rest of the meal.,Simmer Navy beans in a pot until fully tender.,1,Dry pantry legume state
Navy beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Navy beans when appropriate.,Add canned Navy beans late enough to avoid breaking them down.,Warm canned Navy beans gently in a saucepan or skillet.,1,Canned pantry legume state
Great Northern beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Great Northern beans; soak when appropriate.,Start dry Great Northern beans well before the rest of the meal.,Simmer Great Northern beans in a pot until fully tender.,1,Dry pantry legume state
Great Northern beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Great Northern beans when appropriate.,Add canned Great Northern beans late enough to avoid breaking them down.,Warm canned Great Northern beans gently in a saucepan or skillet.,1,Canned pantry legume state
Cannellini beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Cannellini beans; soak when appropriate.,Start dry Cannellini beans well before the rest of the meal.,Simmer Cannellini beans in a pot until fully tender.,1,Dry pantry legume state
Cannellini beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Cannellini beans when appropriate.,Add canned Cannellini beans late enough to avoid breaking them down.,Warm canned Cannellini beans gently in a saucepan or skillet.,1,Canned pantry legume state
Kidney beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Kidney beans; soak when appropriate.,Start dry Kidney beans well before the rest of the meal.,Simmer Kidney beans in a pot until fully tender.,1,Dry pantry legume state
Kidney beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Kidney beans when appropriate.,Add canned Kidney beans late enough to avoid breaking them down.,Warm canned Kidney beans gently in a saucepan or skillet.,1,Canned pantry legume state
Lima beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Lima beans; soak when appropriate.,Start dry Lima beans well before the rest of the meal.,Simmer Lima beans in a pot until fully tender.,1,Dry pantry legume state
Lima beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Lima beans when appropriate.,Add canned Lima beans late enough to avoid breaking them down.,Warm canned Lima beans gently in a saucepan or skillet.,1,Canned pantry legume state
Butter beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Butter beans; soak when appropriate.,Start dry Butter beans well before the rest of the meal.,Simmer Butter beans in a pot until fully tender.,1,Dry pantry legume state
Butter beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Butter beans when appropriate.,Add canned Butter beans late enough to avoid breaking them down.,Warm canned Butter beans gently in a saucepan or skillet.,1,Canned pantry legume state
Chickpeas,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Chickpeas; soak when appropriate.,Start dry Chickpeas well before the rest of the meal.,Simmer Chickpeas in a pot until fully tender.,1,Dry pantry legume state
Chickpeas,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Chickpeas when appropriate.,Add canned Chickpeas late enough to avoid breaking them down.,Warm canned Chickpeas gently in a saucepan or skillet.,1,Canned pantry legume state
Black-eyed peas,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Black-eyed peas; soak when appropriate.,Start dry Black-eyed peas well before the rest of the meal.,Simmer Black-eyed peas in a pot until fully tender.,1,Dry pantry legume state
Black-eyed peas,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Black-eyed peas when appropriate.,Add canned Black-eyed peas late enough to avoid breaking them down.,Warm canned Black-eyed peas gently in a saucepan or skillet.,1,Canned pantry legume state
Split peas,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Split peas; soak when appropriate.,Start dry Split peas well before the rest of the meal.,Simmer Split peas in a pot until fully tender.,1,Dry pantry legume state
Split peas,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Split peas when appropriate.,Add canned Split peas late enough to avoid breaking them down.,Warm canned Split peas gently in a saucepan or skillet.,1,Canned pantry legume state
Green lentils,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Green lentils; soak when appropriate.,Start dry Green lentils well before the rest of the meal.,Simmer Green lentils in a pot until fully tender.,1,Dry pantry legume state
Green lentils,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Green lentils when appropriate.,Add canned Green lentils late enough to avoid breaking them down.,Warm canned Green lentils gently in a saucepan or skillet.,1,Canned pantry legume state
Red lentils,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Red lentils; soak when appropriate.,Start dry Red lentils well before the rest of the meal.,Simmer Red lentils in a pot until fully tender.,1,Dry pantry legume state
Red lentils,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Red lentils when appropriate.,Add canned Red lentils late enough to avoid breaking them down.,Warm canned Red lentils gently in a saucepan or skillet.,1,Canned pantry legume state
Yellow lentils,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Yellow lentils; soak when appropriate.,Start dry Yellow lentils well before the rest of the meal.,Simmer Yellow lentils in a pot until fully tender.,1,Dry pantry legume state
Yellow lentils,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Yellow lentils when appropriate.,Add canned Yellow lentils late enough to avoid breaking them down.,Warm canned Yellow lentils gently in a saucepan or skillet.,1,Canned pantry legume state
Refried beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Refried beans; soak when appropriate.,Start dry Refried beans well before the rest of the meal.,Simmer Refried beans in a pot until fully tender.,1,Dry pantry legume state
Refried beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Refried beans when appropriate.,Add canned Refried beans late enough to avoid breaking them down.,Warm canned Refried beans gently in a saucepan or skillet.,1,Canned pantry legume state
Baked beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Baked beans; soak when appropriate.,Start dry Baked beans well before the rest of the meal.,Simmer Baked beans in a pot until fully tender.,1,Dry pantry legume state
Baked beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Baked beans when appropriate.,Add canned Baked beans late enough to avoid breaking them down.,Warm canned Baked beans gently in a saucepan or skillet.,1,Canned pantry legume state
White beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry White beans; soak when appropriate.,Start dry White beans well before the rest of the meal.,Simmer White beans in a pot until fully tender.,1,Dry pantry legume state
White beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned White beans when appropriate.,Add canned White beans late enough to avoid breaking them down.,Warm canned White beans gently in a saucepan or skillet.,1,Canned pantry legume state
Cranberry beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Cranberry beans; soak when appropriate.,Start dry Cranberry beans well before the rest of the meal.,Simmer Cranberry beans in a pot until fully tender.,1,Dry pantry legume state
Cranberry beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Cranberry beans when appropriate.,Add canned Cranberry beans late enough to avoid breaking them down.,Warm canned Cranberry beans gently in a saucepan or skillet.,1,Canned pantry legume state
Mayocoba beans,Dry,pantry,1,0,5,60,5,55,3,medium,2,excellent,Sort and rinse dry Mayocoba beans; soak when appropriate.,Start dry Mayocoba beans well before the rest of the meal.,Simmer Mayocoba beans in a pot until fully tender.,1,Dry pantry legume state
Mayocoba beans,Canned,pantry,0,1,2,5,2,3,2,very low,0,excellent,Drain and rinse canned Mayocoba beans when appropriate.,Add canned Mayocoba beans late enough to avoid breaking them down.,Warm canned Mayocoba beans gently in a saucepan or skillet.,1,Canned pantry legume state
Milk,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Milk as needed.,Add Milk at the stage appropriate to its flavor and texture.,Use Milk as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Heavy cream,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Heavy cream as needed.,Add Heavy cream at the stage appropriate to its flavor and texture.,Use Heavy cream as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Half-and-half,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Half-and-half as needed.,Add Half-and-half at the stage appropriate to its flavor and texture.,Use Half-and-half as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Butter,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Butter as needed.,Add Butter at the stage appropriate to its flavor and texture.,Use Butter as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Margarine,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Margarine as needed.,Add Margarine at the stage appropriate to its flavor and texture.,Use Margarine as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cream cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Cream cheese as needed.,Add Cream cheese at the stage appropriate to its flavor and texture.,Use Cream cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Sour cream,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Sour cream as needed.,Add Sour cream at the stage appropriate to its flavor and texture.,Use Sour cream as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Greek yogurt,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Greek yogurt as needed.,Add Greek yogurt at the stage appropriate to its flavor and texture.,Use Greek yogurt as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cheddar cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Cheddar cheese as needed.,Add Cheddar cheese at the stage appropriate to its flavor and texture.,Use Cheddar cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Mozzarella cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Mozzarella cheese as needed.,Add Mozzarella cheese at the stage appropriate to its flavor and texture.,Use Mozzarella cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Parmesan cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Parmesan cheese as needed.,Add Parmesan cheese at the stage appropriate to its flavor and texture.,Use Parmesan cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Swiss cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Swiss cheese as needed.,Add Swiss cheese at the stage appropriate to its flavor and texture.,Use Swiss cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Monterey Jack cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Monterey Jack cheese as needed.,Add Monterey Jack cheese at the stage appropriate to its flavor and texture.,Use Monterey Jack cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Pepper Jack cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Pepper Jack cheese as needed.,Add Pepper Jack cheese at the stage appropriate to its flavor and texture.,Use Pepper Jack cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Colby Jack cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Colby Jack cheese as needed.,Add Colby Jack cheese at the stage appropriate to its flavor and texture.,Use Colby Jack cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
American cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion American cheese as needed.,Add American cheese at the stage appropriate to its flavor and texture.,Use American cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cottage cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Cottage cheese as needed.,Add Cottage cheese at the stage appropriate to its flavor and texture.,Use Cottage cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Ricotta cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Ricotta cheese as needed.,Add Ricotta cheese at the stage appropriate to its flavor and texture.,Use Ricotta cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Feta cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Feta cheese as needed.,Add Feta cheese at the stage appropriate to its flavor and texture.,Use Feta cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Blue cheese,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Blue cheese as needed.,Add Blue cheese at the stage appropriate to its flavor and texture.,Use Blue cheese as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Apples,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Apples as needed.,Add Apples at the stage appropriate to its flavor and texture.,Use Apples as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Bananas,Ready to Use,counter,0,1,1,0,1,0,1,very low,0,good,Measure or portion Bananas as needed.,Add Bananas at the stage appropriate to its flavor and texture.,Use Bananas as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Lemons,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Lemons as needed.,Add Lemons at the stage appropriate to its flavor and texture.,Use Lemons as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Limes,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Limes as needed.,Add Limes at the stage appropriate to its flavor and texture.,Use Limes as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Oranges,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Oranges as needed.,Add Oranges at the stage appropriate to its flavor and texture.,Use Oranges as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Pineapple,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Pineapple as needed.,Add Pineapple at the stage appropriate to its flavor and texture.,Use Pineapple as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Peaches,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Peaches as needed.,Add Peaches at the stage appropriate to its flavor and texture.,Use Peaches as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Pears,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Pears as needed.,Add Pears at the stage appropriate to its flavor and texture.,Use Pears as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Strawberries,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Strawberries as needed.,Add Strawberries at the stage appropriate to its flavor and texture.,Use Strawberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Blueberries,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Blueberries as needed.,Add Blueberries at the stage appropriate to its flavor and texture.,Use Blueberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Raspberries,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Raspberries as needed.,Add Raspberries at the stage appropriate to its flavor and texture.,Use Raspberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Blackberries,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Blackberries as needed.,Add Blackberries at the stage appropriate to its flavor and texture.,Use Blackberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cranberries,Ready to Use,freezer,0,1,1,0,1,0,1,very low,0,good,Measure or portion Cranberries as needed.,Add Cranberries at the stage appropriate to its flavor and texture.,Use Cranberries as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Grapes,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Grapes as needed.,Add Grapes at the stage appropriate to its flavor and texture.,Use Grapes as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Mango,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Mango as needed.,Add Mango at the stage appropriate to its flavor and texture.,Use Mango as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Papaya,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Papaya as needed.,Add Papaya at the stage appropriate to its flavor and texture.,Use Papaya as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Kiwi,Ready to Use,fridge,0,1,1,0,1,0,1,very low,0,good,Measure or portion Kiwi as needed.,Add Kiwi at the stage appropriate to its flavor and texture.,Use Kiwi as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Avocado,Ready to Use,counter,0,1,1,0,1,0,1,very low,0,good,Measure or portion Avocado as needed.,Add Avocado at the stage appropriate to its flavor and texture.,Use Avocado as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Coconut,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Coconut as needed.,Add Coconut at the stage appropriate to its flavor and texture.,Use Coconut as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Raisins,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Raisins as needed.,Add Raisins at the stage appropriate to its flavor and texture.,Use Raisins as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
All-purpose flour,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion All-purpose flour as needed.,Add All-purpose flour at the stage appropriate to its flavor and texture.,Use All-purpose flour as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Sugar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Sugar as needed.,Add Sugar at the stage appropriate to its flavor and texture.,Use Sugar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Brown sugar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Brown sugar as needed.,Add Brown sugar at the stage appropriate to its flavor and texture.,Use Brown sugar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Powdered sugar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Powdered sugar as needed.,Add Powdered sugar at the stage appropriate to its flavor and texture.,Use Powdered sugar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Cornstarch,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Cornstarch as needed.,Add Cornstarch at the stage appropriate to its flavor and texture.,Use Cornstarch as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Baking powder,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Baking powder as needed.,Add Baking powder at the stage appropriate to its flavor and texture.,Use Baking powder as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Baking soda,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Baking soda as needed.,Add Baking soda at the stage appropriate to its flavor and texture.,Use Baking soda as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Salt,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Salt as needed.,Add Salt at the stage appropriate to its flavor and texture.,Use Salt as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Black pepper,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Black pepper as needed.,Add Black pepper at the stage appropriate to its flavor and texture.,Use Black pepper as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Olive oil,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Olive oil as needed.,Add Olive oil at the stage appropriate to its flavor and texture.,Use Olive oil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Vegetable oil,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Vegetable oil as needed.,Add Vegetable oil at the stage appropriate to its flavor and texture.,Use Vegetable oil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Canola oil,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Canola oil as needed.,Add Canola oil at the stage appropriate to its flavor and texture.,Use Canola oil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Sesame oil,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Sesame oil as needed.,Add Sesame oil at the stage appropriate to its flavor and texture.,Use Sesame oil as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
Apple cider vinegar,Ready to Use,pantry,0,1,1,0,1,0,1,very low,0,excellent,Measure or portion Apple cider vinegar as needed.,Add Apple cider vinegar at the stage appropriate to its flavor and texture.,Use Apple cider vinegar as a supporting ingredient; do not treat it as a standalone meal component.,1,Supporting ingredient state
