ingredient_name,role,default_state,prep_minutes,cook_minutes,active_minutes,passive_minutes,attention_score,rest_minutes,add_stage,holdability,preferred_method,desired_outcome,failure_mode,recovery_hint,teaching_note,parallel_ok,start_first,timing_note,handling_note,cooking_note,work_score,cleanup_score,mental_load_score,verified
Butternut squash,vegetable,,2,25,5,20,3,0,early,good,cook,Butternut squash cooked safely with an appropriate texture.,Butternut squash may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Butternut squash early; its longer cooking window can overlap other work.,Prepare Butternut squash in even pieces so it cooks consistently.,Cook Butternut squash in a covered pot or roasting pan until evenly tender.,3,3,3,1
Acorn squash,vegetable,,2,30,5,25,3,0,early,good,cook,Acorn squash cooked safely with an appropriate texture.,Acorn squash may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Acorn squash early; its longer cooking window can overlap other work.,Prepare Acorn squash in even pieces so it cooks consistently.,Cook Acorn squash in a covered pot or roasting pan until evenly tender.,3,3,3,1
Pumpkin,vegetable,,2,15,5,10,3,0,early,good,cook,Pumpkin cooked safely with an appropriate texture.,Pumpkin may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Pumpkin early; its longer cooking window can overlap other work.,Prepare Pumpkin in even pieces so it cooks consistently.,Cook Pumpkin in a covered pot or roasting pan until evenly tender.,3,3,3,1
Green bell pepper,vegetable,,2,8,8,0,5,0,middle,fair,saute,Green bell pepper cooked safely with an appropriate texture.,Green bell pepper may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Green bell pepper near service because it changes texture quickly.,Prepare Green bell pepper in even pieces so it cooks consistently.,"Heat oil in a skillet, add Green bell pepper, and sauté until properly tender.",5,3,5,1
Red bell pepper,vegetable,,2,8,8,0,5,0,middle,fair,saute,Red bell pepper cooked safely with an appropriate texture.,Red bell pepper may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Red bell pepper near service because it changes texture quickly.,Prepare Red bell pepper in even pieces so it cooks consistently.,"Heat oil in a skillet, add Red bell pepper, and sauté until properly tender.",5,3,5,1
Yellow bell pepper,vegetable,,2,8,8,0,5,0,middle,fair,saute,Yellow bell pepper cooked safely with an appropriate texture.,Yellow bell pepper may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Yellow bell pepper near service because it changes texture quickly.,Prepare Yellow bell pepper in even pieces so it cooks consistently.,"Heat oil in a skillet, add Yellow bell pepper, and sauté until properly tender.",5,3,5,1
Orange bell pepper,vegetable,,2,8,8,0,5,0,middle,fair,saute,Orange bell pepper cooked safely with an appropriate texture.,Orange bell pepper may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Orange bell pepper near service because it changes texture quickly.,Prepare Orange bell pepper in even pieces so it cooks consistently.,"Heat oil in a skillet, add Orange bell pepper, and sauté until properly tender.",5,3,5,1
Jalapenos,vegetable,,2,5,5,0,5,0,middle,fair,saute,Jalapenos cooked safely with an appropriate texture.,Jalapenos may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Jalapenos near service because it changes texture quickly.,Prepare Jalapenos in even pieces so it cooks consistently.,"Heat oil in a skillet, add Jalapenos, and sauté until properly tender.",5,3,5,1
Poblanos,vegetable,,2,10,10,0,5,0,middle,fair,saute,Poblanos cooked safely with an appropriate texture.,Poblanos may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Poblanos near service because it changes texture quickly.,Prepare Poblanos in even pieces so it cooks consistently.,"Heat oil in a skillet, add Poblanos, and sauté until properly tender.",5,3,5,1
Serranos,vegetable,,2,5,5,0,5,0,middle,fair,saute,Serranos cooked safely with an appropriate texture.,Serranos may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Serranos near service because it changes texture quickly.,Prepare Serranos in even pieces so it cooks consistently.,"Heat oil in a skillet, add Serranos, and sauté until properly tender.",5,3,5,1
Tomatoes,vegetable,,2,8,8,0,5,0,middle,fair,saute,Tomatoes cooked safely with an appropriate texture.,Tomatoes may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Tomatoes near service because it changes texture quickly.,Prepare Tomatoes in even pieces so it cooks consistently.,"Heat oil in a skillet, add Tomatoes, and sauté until properly tender.",5,3,5,1
Cherry tomatoes,vegetable,,2,5,5,0,5,0,middle,fair,saute,Cherry tomatoes cooked safely with an appropriate texture.,Cherry tomatoes may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Cherry tomatoes near service because it changes texture quickly.,Prepare Cherry tomatoes in even pieces so it cooks consistently.,"Heat oil in a skillet, add Cherry tomatoes, and sauté until properly tender.",5,3,5,1
Tomatillos,vegetable,,2,10,10,0,5,0,middle,fair,saute,Tomatillos cooked safely with an appropriate texture.,Tomatillos may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Tomatillos near service because it changes texture quickly.,Prepare Tomatillos in even pieces so it cooks consistently.,"Heat oil in a skillet, add Tomatillos, and sauté until properly tender.",5,3,5,1
Cucumbers,vegetable,,2,0,2,0,2,0,late,poor,assemble,"Fresh, crisp Cucumbers.",Cucumbers may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Prepare Cucumbers near service.,Prepare Cucumbers in even pieces so it cooks consistently.,Keep Cucumbers crisp and add it without cooking unless the meal specifically calls for heat.,2,3,2,1
Radishes,vegetable,,2,5,5,0,3,0,early,good,cook,Radishes cooked safely with an appropriate texture.,Radishes may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Radishes early; its longer cooking window can overlap other work.,Prepare Radishes in even pieces so it cooks consistently.,Cook Radishes in a covered pot or roasting pan until evenly tender.,3,3,3,1
Turnips,vegetable,,2,20,5,15,3,0,early,good,cook,Turnips cooked safely with an appropriate texture.,Turnips may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Turnips early; its longer cooking window can overlap other work.,Prepare Turnips in even pieces so it cooks consistently.,Cook Turnips in a covered pot or roasting pan until evenly tender.,3,3,3,1
Rutabagas,vegetable,,2,25,5,20,3,0,early,good,cook,Rutabagas cooked safely with an appropriate texture.,Rutabagas may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Rutabagas early; its longer cooking window can overlap other work.,Prepare Rutabagas in even pieces so it cooks consistently.,Cook Rutabagas in a covered pot or roasting pan until evenly tender.,3,3,3,1
Parsnips,vegetable,,2,20,5,15,3,0,early,good,cook,Parsnips cooked safely with an appropriate texture.,Parsnips may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Parsnips early; its longer cooking window can overlap other work.,Prepare Parsnips in even pieces so it cooks consistently.,Cook Parsnips in a covered pot or roasting pan until evenly tender.,3,3,3,1
Beets,vegetable,,2,35,5,30,3,0,early,good,cook,Beets cooked safely with an appropriate texture.,Beets may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Beets early; its longer cooking window can overlap other work.,Prepare Beets in even pieces so it cooks consistently.,Cook Beets in a covered pot or roasting pan until evenly tender.,3,3,3,1
Brussels sprouts,vegetable,,2,15,5,10,3,0,early,good,cook,Brussels sprouts cooked safely with an appropriate texture.,Brussels sprouts may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Brussels sprouts early; its longer cooking window can overlap other work.,Prepare Brussels sprouts in even pieces so it cooks consistently.,Cook Brussels sprouts in a covered pot or roasting pan until evenly tender.,3,3,3,1
Bok choy,vegetable,,2,6,6,0,5,0,late,poor,saute,Bok choy cooked safely with an appropriate texture.,Bok choy may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Bok choy near service because it changes texture quickly.,Prepare Bok choy in even pieces so it cooks consistently.,"Heat oil in a skillet, add Bok choy, and sauté until properly tender.",5,3,5,1
Napa cabbage,vegetable,,2,8,5,3,3,0,early,good,cook,Napa cabbage cooked safely with an appropriate texture.,Napa cabbage may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Napa cabbage early; its longer cooking window can overlap other work.,Prepare Napa cabbage in even pieces so it cooks consistently.,Cook Napa cabbage in a covered pot or roasting pan until evenly tender.,3,3,3,1
Leeks,vegetable,,2,12,12,0,5,0,middle,fair,saute,Leeks cooked safely with an appropriate texture.,Leeks may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Leeks near service because it changes texture quickly.,Prepare Leeks in even pieces so it cooks consistently.,"Heat oil in a skillet, add Leeks, and sauté until properly tender.",5,3,5,1
Scallions,vegetable,,2,2,2,0,5,0,middle,fair,saute,Scallions cooked safely with an appropriate texture.,Scallions may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Scallions near service because it changes texture quickly.,Prepare Scallions in even pieces so it cooks consistently.,"Heat oil in a skillet, add Scallions, and sauté until properly tender.",5,3,5,1
Shallots,vegetable,,2,6,6,0,5,0,middle,fair,saute,Shallots cooked safely with an appropriate texture.,Shallots may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Shallots near service because it changes texture quickly.,Prepare Shallots in even pieces so it cooks consistently.,"Heat oil in a skillet, add Shallots, and sauté until properly tender.",5,3,5,1
Artichokes,vegetable,,2,10,5,5,3,0,early,good,cook,Artichokes cooked safely with an appropriate texture.,Artichokes may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Artichokes early; its longer cooking window can overlap other work.,Prepare Artichokes in even pieces so it cooks consistently.,Cook Artichokes in a covered pot or roasting pan until evenly tender.,3,3,3,1
Okra,vegetable,,2,10,10,0,5,0,middle,fair,saute,Okra cooked safely with an appropriate texture.,Okra may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Okra near service because it changes texture quickly.,Prepare Okra in even pieces so it cooks consistently.,"Heat oil in a skillet, add Okra, and sauté until properly tender.",5,3,5,1
Eggplant,vegetable,,2,15,5,10,3,0,early,good,cook,Eggplant cooked safely with an appropriate texture.,Eggplant may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Eggplant early; its longer cooking window can overlap other work.,Prepare Eggplant in even pieces so it cooks consistently.,Cook Eggplant in a covered pot or roasting pan until evenly tender.,3,3,3,1
Water chestnuts,vegetable,,2,3,3,0,2,0,late,good,warm,Water chestnuts heated or added without damaging its ready-to-eat texture.,Water chestnuts may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Water chestnuts according to its holdability and service time.,Prepare Water chestnuts in even pieces so it cooks consistently.,"Drain or portion Water chestnuts, then warm it gently in a skillet or saucepan only if desired.",2,3,2,1
Bamboo shoots,vegetable,,2,5,3,2,2,0,late,good,warm,Bamboo shoots heated or added without damaging its ready-to-eat texture.,Bamboo shoots may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Bamboo shoots according to its holdability and service time.,Prepare Bamboo shoots in even pieces so it cooks consistently.,"Drain or portion Bamboo shoots, then warm it gently in a skillet or saucepan only if desired.",2,3,2,1
Black olives,vegetable,,2,0,2,0,2,0,late,poor,assemble,"Fresh, crisp Black olives.",Black olives may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Prepare Black olives near service.,Prepare Black olives in even pieces so it cooks consistently.,Keep Black olives crisp and add it without cooking unless the meal specifically calls for heat.,2,3,2,1
Green olives,vegetable,,2,0,2,0,2,0,late,poor,assemble,"Fresh, crisp Green olives.",Green olives may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Prepare Green olives near service.,Prepare Green olives in even pieces so it cooks consistently.,Keep Green olives crisp and add it without cooking unless the meal specifically calls for heat.,2,3,2,1
Sauerkraut,vegetable,,2,5,3,2,2,0,late,good,warm,Sauerkraut heated or added without damaging its ready-to-eat texture.,Sauerkraut may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Sauerkraut according to its holdability and service time.,Prepare Sauerkraut in even pieces so it cooks consistently.,"Drain or portion Sauerkraut, then warm it gently in a skillet or saucepan only if desired.",2,3,2,1
Pickles,vegetable,,2,0,2,0,2,0,late,poor,assemble,"Fresh, crisp Pickles.",Pickles may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Prepare Pickles near service.,Prepare Pickles in even pieces so it cooks consistently.,Keep Pickles crisp and add it without cooking unless the meal specifically calls for heat.,2,3,2,1
Celery root,vegetable,,2,25,5,20,3,0,early,good,cook,Celery root cooked safely with an appropriate texture.,Celery root may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,1,Start Celery root early; its longer cooking window can overlap other work.,Prepare Celery root in even pieces so it cooks consistently.,Cook Celery root in a covered pot or roasting pan until evenly tender.,3,3,3,1
Fennel,vegetable,,2,12,12,0,5,0,middle,fair,saute,Fennel cooked safely with an appropriate texture.,Fennel may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Fennel near service because it changes texture quickly.,Prepare Fennel in even pieces so it cooks consistently.,"Heat oil in a skillet, add Fennel, and sauté until properly tender.",5,3,5,1
Snap peas,vegetable,,2,3,3,0,5,0,middle,fair,saute,Snap peas cooked safely with an appropriate texture.,Snap peas may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Snap peas near service because it changes texture quickly.,Prepare Snap peas in even pieces so it cooks consistently.,"Heat oil in a skillet, add Snap peas, and sauté until properly tender.",5,3,5,1
Snow peas,vegetable,,2,3,3,0,5,0,middle,fair,saute,Snow peas cooked safely with an appropriate texture.,Snow peas may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Snow peas near service because it changes texture quickly.,Prepare Snow peas in even pieces so it cooks consistently.,"Heat oil in a skillet, add Snow peas, and sauté until properly tender.",5,3,5,1
Bean sprouts,vegetable,,2,2,2,0,5,0,middle,fair,saute,Bean sprouts cooked safely with an appropriate texture.,Bean sprouts may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Bean sprouts near service because it changes texture quickly.,Prepare Bean sprouts in even pieces so it cooks consistently.,"Heat oil in a skillet, add Bean sprouts, and sauté until properly tender.",5,3,5,1
Collard greens,vegetable,,2,25,25,0,5,0,late,poor,saute,Collard greens cooked safely with an appropriate texture.,Collard greens may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Collard greens near service because it changes texture quickly.,Prepare Collard greens in even pieces so it cooks consistently.,"Heat oil in a skillet, add Collard greens, and sauté until properly tender.",5,3,5,1
Mustard greens,vegetable,,2,20,20,0,5,0,late,poor,saute,Mustard greens cooked safely with an appropriate texture.,Mustard greens may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,0,0,Cook Mustard greens near service because it changes texture quickly.,Prepare Mustard greens in even pieces so it cooks consistently.,"Heat oil in a skillet, add Mustard greens, and sauté until properly tender.",5,3,5,1
White rice,foundation,,2,20,4,16,3,0,early,good,simmer,A properly cooked White rice foundation ready to support the meal.,White rice may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start White rice early when it has passive cooking time.,Measure White rice and its cooking liquid or heating ingredients before starting.,"Cook White rice in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Brown rice,foundation,,2,40,4,36,3,0,early,good,simmer,A properly cooked Brown rice foundation ready to support the meal.,Brown rice may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Brown rice early when it has passive cooking time.,Measure Brown rice and its cooking liquid or heating ingredients before starting.,"Cook Brown rice in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Jasmine rice,foundation,,2,18,4,14,3,0,early,good,simmer,A properly cooked Jasmine rice foundation ready to support the meal.,Jasmine rice may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Jasmine rice early when it has passive cooking time.,Measure Jasmine rice and its cooking liquid or heating ingredients before starting.,"Cook Jasmine rice in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Basmati rice,foundation,,2,18,4,14,3,0,early,good,simmer,A properly cooked Basmati rice foundation ready to support the meal.,Basmati rice may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Basmati rice early when it has passive cooking time.,Measure Basmati rice and its cooking liquid or heating ingredients before starting.,"Cook Basmati rice in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Wild rice,foundation,,2,45,4,41,3,0,early,good,simmer,A properly cooked Wild rice foundation ready to support the meal.,Wild rice may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Wild rice early when it has passive cooking time.,Measure Wild rice and its cooking liquid or heating ingredients before starting.,"Cook Wild rice in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Egg noodles,foundation,,2,10,4,6,3,0,early,good,simmer,A properly cooked Egg noodles foundation ready to support the meal.,Egg noodles may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Egg noodles early when it has passive cooking time.,Measure Egg noodles and its cooking liquid or heating ingredients before starting.,"Cook Egg noodles in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Pasta,foundation,,2,10,4,6,3,0,early,good,simmer,A properly cooked Pasta foundation ready to support the meal.,Pasta may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Pasta early when it has passive cooking time.,Measure Pasta and its cooking liquid or heating ingredients before starting.,"Cook Pasta in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Spaghetti,foundation,,2,10,4,6,3,0,early,good,simmer,A properly cooked Spaghetti foundation ready to support the meal.,Spaghetti may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Spaghetti early when it has passive cooking time.,Measure Spaghetti and its cooking liquid or heating ingredients before starting.,"Cook Spaghetti in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Macaroni,foundation,,2,8,4,4,3,0,early,good,simmer,A properly cooked Macaroni foundation ready to support the meal.,Macaroni may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Macaroni early when it has passive cooking time.,Measure Macaroni and its cooking liquid or heating ingredients before starting.,"Cook Macaroni in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Rotini,foundation,,2,10,4,6,3,0,early,good,simmer,A properly cooked Rotini foundation ready to support the meal.,Rotini may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Rotini early when it has passive cooking time.,Measure Rotini and its cooking liquid or heating ingredients before starting.,"Cook Rotini in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Mashed potatoes,foundation,,2,5,4,1,3,0,early,good,simmer,A properly cooked Mashed potatoes foundation ready to support the meal.,Mashed potatoes may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Mashed potatoes early when it has passive cooking time.,Measure Mashed potatoes and its cooking liquid or heating ingredients before starting.,"Cook Mashed potatoes in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Baked potatoes,foundation,,2,45,4,41,3,0,early,good,simmer,A properly cooked Baked potatoes foundation ready to support the meal.,Baked potatoes may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Baked potatoes early when it has passive cooking time.,Measure Baked potatoes and its cooking liquid or heating ingredients before starting.,"Cook Baked potatoes in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Roasted potatoes,foundation,,2,30,4,26,3,0,early,good,simmer,A properly cooked Roasted potatoes foundation ready to support the meal.,Roasted potatoes may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Roasted potatoes early when it has passive cooking time.,Measure Roasted potatoes and its cooking liquid or heating ingredients before starting.,"Cook Roasted potatoes in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Hash browns,foundation,,2,12,4,8,3,0,early,good,simmer,A properly cooked Hash browns foundation ready to support the meal.,Hash browns may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Hash browns early when it has passive cooking time.,Measure Hash browns and its cooking liquid or heating ingredients before starting.,"Cook Hash browns in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
French fries,foundation,,2,20,4,16,3,0,early,good,simmer,A properly cooked French fries foundation ready to support the meal.,French fries may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start French fries early when it has passive cooking time.,Measure French fries and its cooking liquid or heating ingredients before starting.,"Cook French fries in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Cornbread,foundation,,2,25,4,21,3,0,early,good,simmer,A properly cooked Cornbread foundation ready to support the meal.,Cornbread may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Cornbread early when it has passive cooking time.,Measure Cornbread and its cooking liquid or heating ingredients before starting.,"Cook Cornbread in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Biscuits,foundation,,2,15,4,11,3,0,early,good,simmer,A properly cooked Biscuits foundation ready to support the meal.,Biscuits may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Biscuits early when it has passive cooking time.,Measure Biscuits and its cooking liquid or heating ingredients before starting.,"Cook Biscuits in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Bread,foundation,,2,2,2,0,3,0,early,good,simmer,A properly cooked Bread foundation ready to support the meal.,Bread may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Bread early when it has passive cooking time.,Measure Bread and its cooking liquid or heating ingredients before starting.,"Cook Bread in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Flour tortillas,foundation,,2,2,2,0,3,0,early,good,simmer,A properly cooked Flour tortillas foundation ready to support the meal.,Flour tortillas may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Flour tortillas early when it has passive cooking time.,Measure Flour tortillas and its cooking liquid or heating ingredients before starting.,"Cook Flour tortillas in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Corn tortillas,foundation,,2,2,2,0,3,0,early,good,simmer,A properly cooked Corn tortillas foundation ready to support the meal.,Corn tortillas may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Corn tortillas early when it has passive cooking time.,Measure Corn tortillas and its cooking liquid or heating ingredients before starting.,"Cook Corn tortillas in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
Polenta,foundation,,2,25,4,21,3,0,early,good,simmer,A properly cooked Polenta foundation ready to support the meal.,Polenta may cook unevenly or develop a poor texture if crowded or mistimed.,"Adjust heat, add a small amount of liquid if needed, and continue gently.",Even sizing and correct heat make timing more predictable.,1,1,Start Polenta early when it has passive cooking time.,Measure Polenta and its cooking liquid or heating ingredients before starting.,"Cook Polenta in the named pot, pan, or appliance until tender and ready to hold.",3,3,3,1
